englishname,chinesename,distillery,bottler,vintage,statedage,strength,size,casktype,casknumber,numberofbottles,rating,fbprice,euprice,chinaprice,notes,fbpricedate,eupricedate,chinapricedate,dateupdated
Balvenie 1991 Rose,百富 1991 玫瑰 首版,Balvenie,官方,1991,16,0.534,700,波特(一次充填),,,91,,,"18,800.00",,,,2019/3/19,2019/3/20
Balvenie 1991 Rose Second Release,百富 1991 玫瑰 第二版,Balvenie,官方,1991,16,0.503,700,波特(一次充填),,,91.31,,,"15,300.00",,,,2019/3/19,2019/3/20
Balvenie 40-year-old Batch 7,百富 40年 第七版,Balvenie,官方,,40,0.485,700,3種美國橡木 + 3種雪莉 Butts,,,92.44,,,"30,688.00",,,,2019/3/19,2019/3/19
Balvenie Thirty,百富 30年,Balvenie,官方,,30,0.473,700,Oloroso雪莉 & 傳統橡木,,,91.5,24800,725,,,2019/3/25,2019/3/4,,2019/3/27
Balvenie Tun 1401 Batch No. 2,百富 1401 第二版,Balvenie,官方,,,0.506,700,7種波本 & 3種雪莉 Butt,,2226,91.5,,600,"6,500.00",Batch 2,,2019/1/7,2019/3/19,2019/3/20
Balvenie Tun 1401 Batch No. 4,百富 1401 第四版,Balvenie,官方,2012,,0.504,700,3種雪莉 Butts & 7種美國橡木 Barrels ,,2500,90.42,22100,,,2012裝瓶,2019/3/24,,2019/3/27,2019/3/27
Balvenie Tun 1401 Batch No. 5,百富 1401 第五版,Balvenie,官方,,,0.501,700,5種波本 & 4種雪莉Butt,,2862,91.38,,525,,第五版 (英國、歐洲限定),,2019/3/4,,2019/2/26
Balvenie Tun 1509 Batch No. 1,百富 1509 第一版,Balvenie,官方,,,0.471,750,35種美國橡木 & 7種雪莉,,,91.76,16000,240,,Fb明價/第一版,2018/10/10,2019/3/4,,2019/2/26
Balvenie Tun 1509 Batch No. 4,百富 1509 第四版,Balvenie,官方,,,0.517,700,"10種雪莉Butts, 13種美國波本(一次填充)",,8850,88.86,9000,370,,,2018/9/12,2018/12/3,,2019/3/7
Balvenie Tun 1509 Batch No. 5,百富 1509 第五版,Balvenie,官方,,,0.526,700,10種波本 & 3種美國橡木(二次充填) & 8種雪莉豬頭,,8000,91.12,10100,250,,第五版 (美國限定),2018/9/12,2019/3/4,,2019/2/26
