englishname,chinesename,distillery,bottler,vintage,statedage,strength,size,casktype,casknumber,numberofbottles,rating,fbprice,euprice,chinaprice,notes,fbpricedate,eupricedate,chinapricedate,dateupdated
Highland Park Sigurd The Warrior Series,高原騎士 神劍,Highland Park,官方,,,0.43,700,美國 歐洲橡木 雪莉,,,84.15,4500,111,,FB私價,2019/3/14,2019/3/4,,2019/3/23
Karuizawa 1972 Single Cask - Number One Drinks Company,輕井澤 1972 一番 #7290,Karuizawa,官方,,36,0.65,700,雪莉,7290,528,91.85,186777,"3,658.00",,MMA2008金牌,2018/12/19,2018/10/8,,2019/3/6
Karuizawa 1972 Single Cask - Number One Drinks Company ,輕井澤 1972 一番 #7038,Karuizawa,官方,,39,0.633,700,雪莉 Butt,7038,523,91.82,201000,"4,000.00",,,2018/12/29,2019/3/4,,2019/3/16
Karuizawa 1975,輕井澤 1975 40年 一生懸命,Karuizawa,官方,1975,40,0.569,700,雪莉,6890,199,95.33,397000,,,台灣限定,2019/1/1,,,2019/3/8
Karuizawa 1975 Vintage - Single Cask Malt Whisky,輕井澤 圈圈標 1975 #6736,Karuizawa,官方,1975,35,0.618,700,雪莉,6736,,91.86,193000,"3,100.00",,法國限定,2019/3/24,2018/9/3,,2019/3/27
Karuizawa 1978 Vintage - Single Cask Malt Whisky,輕井澤 圈圈標 1978 #8383,Karuizawa,官方,1978,35,0.63,700,前波本,8383,405,91.46,125555,"8,000.00",,法國限定,2019/2/12,2019/1/7,,2019/3/12
Karuizawa 1979 Vintage - Single Cask Malt Whisky,輕井澤 圈圈標 1979 #7752,Karuizawa,官方,1979,33,0.599,700,雪莉 Butt,752,,91.68,,"2,625.00","41,288.00",,,2018/7/2,2019/3/19,2019/3/19
Karuizawa 1979 Vintage - Single Cask Malt Whisky,輕井澤 圈圈標 1979 #8187,Karuizawa,官方,1979,35,0.588,700,前波本,8187,350,91.52,125555,"2,800.00",,法國限定,2019/2/12,2018/9/3,,2019/3/12
Karuizawa 1980 Artifices Serie,輕井澤 1980 藝術標 #6476,Karuizawa,官方,1980,,0.63,700,前波本 Barrel,6476,370,91.87,125500,"2,550.00",,法國限定,2019/2/12,2019/3/4,,2019/3/12
Karuizawa 1981 Fire Dragon,輕井澤 百年火龍,Karuizawa,官方,1981,30,0.538,700,雪莉,6370,378,91.45,168000,"3,250.00",,FB明價/台灣建國百年限定,2019/2/25,2017/4/17,,2019/3/14
Karuizawa 1981 Prendre le rythme,輕井澤 1981 藝術標 Prendre le rythme #78,Karuizawa,官方,1981,31,0.605,700,雪利 Butt,78,375,91.67,125555,"3,000.00",,法國限定,2019/2/12,2019/1/7,,2019/3/12
Karuizawa 1981 Single Cask #6412,輕井澤 1981 雷射雕刻雪景 35年 #6412,Karuizawa,官方,1981,35,0.577,700,,6412,505,,220000,,,美國3D藝術家 Fazzino 雷射雕刻日本雪景,2019/3/11,,,2019/3/14
Karuizawa 1981 Vintage - Single Cask Malt Whisky,輕井澤 圈圈標 1981 #103,Karuizawa,官方,1981,26,0.581,700,,,,90.92,130000,"1,800.00",,,2019/2/16,2018/6/4,,2019/3/12
Karuizawa 1981 Vintage - Single Cask Malt Whisky,輕井澤 圈圈標 1981 #152,Karuizawa,官方,1981,33,0.545,700,前雪莉,152,566,91.81,124000,"2,360.00",,法國限定,2019/2/16,2018/9/3,,2019/3/12
Karuizawa 1982 Geisha Label #2748,輕井澤 1982 藝妓 #2748,Karuizawa,官方,1982,27,0.561,700,雪莉(一次充填),2748,,90.84,85000,"2,200.00",,The Whisky Exchange Online 十週年,2018/6/18,2017/4/17,,2019/3/7
Karuizawa 1982 Vintage - Single Cask Malt Whisky,輕井澤 圈圈標 1982 #2279,Karuizawa,官方,1982,,0.581,700,雪莉,2279,,90.38,138000,"3,100.00",,FB明價,2019/2/25,2018/9/3,,2019/3/14
Karuizawa 1983 Noh Whisky,輕井澤 1983 能,Karuizawa,官方,1983,29,0.594,700,波本,5322,205,90.53,130200,"2,102.00",,法國限定,2019/3/5,2017/7/3,,2019/3/13
Karuizawa 1990 Geisha Label,輕井澤 1990 地圖 藝妓,Karuizawa,官方,1990,,0.561,700,雪莉(一次充填),679,433,90.9,80500,"1,700.00",,英國限定/2012裝瓶,2019/2/27,2018/10/8,,2019/3/14
Karuizawa 1991 SMWS 132.2 Stunning panorama of exotic fruits,輕井澤 1991 SMWS 132.2,Karuizawa,Scotch Malt Whisky Society,1991,22,0.624,700,前雪莉 Butt(二次充填),,335,90.15,,"2,000.00","20,000.00",,,2019/3/4,2019/3/19,2019/3/20
Karuizawa 1997 Rare Vintage,輕井澤 1997 Rare Vintage ,Karuizawa,官方,1997,16,0.62,700,,,,,45100,735,,,2019/3/5,2017/6/5,,2019/3/13
Karuizawa 1999 Memories of Karuizawa no 4,輕井澤 1999 14年 #855,Karuizawa,官方,1999,14,0.57,700,雪莉,855,,,41000,900,,,2019/3/5,2017/7/3,,2019/3/13
Karuizawa 1999/2000 Asama,輕井澤 1999/2000 Asama,Karuizawa,官方,1999/2000,,0.46,700,歐洲橡木 雪莉,,,,16800,700,,2012裝瓶,2019/3/6,2019/3/4,,2019/3/16
Karuizawa 1999-2000 Vintages Fugaku Sanjurokkei - 1st Release,輕井澤 海浪 首版,Karuizawa,官方,,,0.61,700,,,,89.17,40500,"1,251.00","11,600.00",Fugaku Sanjurokkei =嶽三十六景,2018/12/15,2018/9/3,2019/3/19,2019/3/19
Karuizawa 1999-2000 Vintages Fugaku Sanjurokkei - 3rd Release,輕井澤 1999-2000 富嶽三十六景 第三版 相州七里濱,Karuizawa,官方,1999-2000,,0.605,700,,,,89.25,35500,"1,150.00",,日本限定/2015裝瓶,2019/2/20,2019/2/4,,2019/3/22
Karuizawa 2000 Geisha Label,輕井澤 2000 藝妓 七福神之布袋,Karuizawa,官方,2000,,0.615,700,雪莉,125,,,44000,"1,700.00",,,,2019/3/4,,2019/3/5
Karuizawa 2000 SMWS 132.6 Nite Nurse nipped by piranhas,輕井澤 2000 SMWS 132.6,Karuizawa,Scotch Malt Whisky Society,2000,12,0.63,700,雪莉 Butt(二次充填),,553,88.09,,"1,000.00","11,200.00",,,2018/8/6,2019/3/19,2019/3/20
Karuizawa 30-year-old Geisha Label #3619,輕井澤 30年 藝妓 #3619,Karuizawa,官方,,30,0.606,700,,3619,282,,188000,"3,500.00",,FB明價,,2018/4/2,,2019/3/5
Karuizawa 30-year-old Samurai Label,輕井澤 30年 侍 #4201,Karuizawa,官方,,30,0.574,700,雪莉 Butt,4201,358,90.75,,"3,200.00","34,000.00",,,2019/2/4,2019/3/19,2019/3/19
Karuizawa 30-year-old Samurai Label,輕井澤 30年 侍 #6432,Karuizawa,官方,,30,0.632,700,波本,6432,404,90.78,,"4,000.00","35,000.00",,,2018/12/3,2019/3/19,2019/3/19
Karuizawa 35 Year Old Single Cask #6809,輕井澤 宮島辯才天,Karuizawa,官方,,35,,,,6809,,,200000,,,FB私價,2019/3/13,,,2019/3/23
Karuizawa 40-year-old Aqua of Life,輕井澤 白命之水 40年,Karuizawa,官方,,40,0.574,750,雪莉 Butt,6114,309,,160200,"4,700.00",,2014裝瓶/台灣限定,2019/3/5,2017/9/4,,2019/3/13
Karuizawa Battle of Kawanakajima,輕井澤 川中島 單開全景,Karuizawa,官方,1981,35,0.573,700,雪莉,226,102,,220000,"4,600.00",,,2019/2/16,2018/11/5,,2019/3/12
Karuizawa Distillery Moon Above Daimotsu Bay,輕井澤 大物海上月,Karuizawa,官方,1980,35,0.571,700,波本,8283,401,,178000,"5,700.00",,,2019/2/16,2019/3/4,,2019/3/12
Karuizawa Spirit of Asama,輕井澤 淺間魂,Karuizawa,官方,,,0.55,700,,,,87.3,30000,700,,英國限定/2012裝瓶,2019/3/5,2019/3/4,,2019/3/13
Karuizawa The Dragon with Eight Head,輕井澤 八頭龍,Karuizawa,官方,1981,35,0.544,700,雪莉,171,530,,188000,"4,550.00",,,2019/2/19,2019/3/4,,2019/3/13
Kawasaki 1982 Whisky Live Tokyo,川崎 1982 Whisky Live Tokyo,Kawasaki,官方,1982,,0.655,700,雪莉,7414,674,90.48,29400,"1,050.00",,,2018/11/30,2019/2/4,,2019/3/7
Kilchoman 2008 Feis Ile 2012 Release,齊侯門 2008 Feis Ile 2012,Kilchoman,官方,2008,4,0.585,700,前波本 & Oloroso 雪莉,,,86.07,,110,"2,700.00",,,2018/6/4,2019/3/19,2019/3/20
Kiyosato Field Ballet 26th Anniversary,清里芭蕾舞團 26周年紀念 羽生X川崎,Hanyu & Kawasaki,官方,,25,0.48,700,,,700,91.57,51000,"1,000.00",,調和威士忌 羽生1990(25年原酒)+ 川崎1982(33年原酒),2018/8/24,2019/3/4,,2019/3/11
Komagatake 2015 Single Cask,駒之越 鬼系列 2015 3年 原酒,Komagatake,官方,2015,3,0.6,700,波本,5141,200,88.67,24500,,,FB私價/日本限定,2019/3/30,,,2019/4/2
Lagavulin 09-year-old - House Lannister Game of Thrones ,拉加維林 9年 權力遊戲 蘭尼斯特家族,Lagavulin,官方,,9,0.46,700,前波本,,,87.05,3000,70,,FB兩瓶5999,2019/3/6,2019/3/4,,2019/3/14
"Lagavulin 16-year-old White Horse Distillers, Gold Text",拉加維林 16年 白馬 金字,Lagavulin,官方,,16,0.43,700,,,,90.56,,185,"3,500.00",,,2019/1/7,2019/3/19,2019/3/19
Lagavulin 1991 Feis Ile 2015,拉加維林 1991 Feis Ile 2015,Lagavulin,官方,1991,24,0.599,700,"美國橡木, PX 雪莉 Puncheon",,3500,91.67,19400,490,,FB拍賣前後標稍微浮起、封鉛微掉漆,2019/3/6,2019/3/4,,2019/3/14
Lagavulin 2001 Distillers Edition,拉加維林 2001 酒廠限定,Lagavulin,官方,2001,,0.43,700,PX雪莉,,,90,,85,"1,050.00",酒標4/506 / 2017裝瓶 ,,2019/3/4,2019/3/24,2019/3/25
Laphroaig 10-year-old,拉佛格 10年 白底 新標,Laphroaig,官方,,,0.4,700,,,,85.94,1200,30,,新標,2018/10/15,2019/3/4,,2019/3/7
Laphroaig 16-year-old SMWS 29.193,拉佛格 16年 SMWS 29.193,Laphroaig,Scotch Malt Whisky Society,,16,0.593,700,前波本(二次充填),,,,5000,103,,台灣限定/SMWS台灣10週年,2018/12/25,2017/5/8,,2019/3/6
Laphroaig 18-year-old,拉佛格 18年 綠盒綠底,Laphroaig,官方,,18,0.48,700,,,,88.57,4700,120,,舊標,2018/10/15,2019/3/4,,2019/3/7
Laphroaig 1987 Vintage,拉佛格 1987,Laphroaig,官方,1987,19,0.534,700,豬頭(一次充填),,1387,90.78,,525,"6,800.00",法國限定,,2017/7/3,2019/3/19,2019/3/20
Laphroaig 1989 Highgrove Edition,拉佛格 1989 Highgrove,Laphroaig,官方,1989,,0.43,700,,,,88.59,,205,"4,500.00",,,2018/10/8,2019/3/19,2019/3/19
Laphroaig 1989 SMWS 29.68 A match made in heaven,拉佛格 1989 SMWS 29.68,Laphroaig,Scotch Malt Whisky Society,1989,18,0.54,750,Butt(二次充填),,499,,,,"5,300.00",,,,2019/3/19,2019/3/20
Laphroaig 1995 SMWS 29.235 Atavistic home-coming,拉佛格 1995 SMWS 29.235,Laphroaig,Scotch Malt Whisky Society,1995,22,0.568,700,前波本 Barrel(二次充填),,201,,,,"3,000.00",,,,2019/3/19,2019/3/20
Laphroaig 1998 SMWS 29.100 A league of its own,拉佛格 1998 SMWS 29.100,Laphroaig,Scotch Malt Whisky Society,1998,12,0.585,750,豬頭(二次充填),,,,15000,,,,2019/3/4,,,2019/3/13
Laphroaig 2005 Limited Edition Release,拉佛格 2005 12年 限量,Laphroaig,官方,2005,12,0.553,700,,,340,92.83,,,"6,800.00",2017裝瓶,,,2019/3/19,2019/3/19
Laphroaig 25-year-old,拉佛格 25年,Laphroaig,官方,,25,0.4,700,,2500,,86.92,9900,370,,公司貨2盒19800,2018/9/19,2018/10/8,,2019/3/7
Laphroaig 25-year-old Cask Strength Edition,拉佛格 25年 原酒,Laphroaig,官方,,25,0.51,700,,,,,18000,,,2009裝瓶,2019/3/26,,,2019/3/27
Laphroaig 25-year-old Cask Strength Edition,拉佛格 25年 原酒,Laphroaig,官方,,25,0.451,700,波本 & 雪莉 Barrels,,,90.88,9600,210,,FB拍價外盒小傷/2014版,2018/12/27,2018/3/5,,2019/3/6
Laphroaig Cairdeas 2014,拉佛格 Cairdeas (拉佛格之友) 2014,Laphroaig,官方,,,0.514,700,,,,,6800,190,,FB明價/2014版,2019/2/18,2019/3/4,,2019/3/13
Laphroaig Cask Strength Batch #001,拉佛格 10年 原酒 #001版,Laphroaig,官方,,10,0.578,700,,,,89.13,,,"3,600.00",Batch #001/2009裝瓶,,,2019/3/19,2019/3/19
Laphroaig Original Cask Strength Red Stripe,拉佛格 10年 原酒 紅標 綠盒,Laphroaig,官方,,10,0.557,700,,,,89.76,7200,230,"2,600.00",,2018/3/14,2019/3/4,2019/3/24,2019/3/25
Laphroaig Quarter Cask,拉佛格 1/4桶,Laphroaig,官方,,,0.48,700,,,,,1111,30,,,2018/10/15,2019/3/4,,2019/3/7
Linkwood 1984 GM Connoisseurs Choice - Cask Strength,林肯伍德 1984 GM 原酒,Linkwood,Gordon & MacPhail,1984,34,0.581,700,雪莉 Butt(一次充填),18/064,481,93.03,19000,,,FB私價,2019/2/25,,,2019/3/13
Linkwood 1989 SMWS 39.160 Will brighten your day!,林肯伍德 1989 SMWS 39.160,Linkwood,Scotch Malt Whisky Society,1989,28,0.484,700,前波本豬頭(二次充填),,239,87.25,,,"3,700.00",,,,2019/3/19,2019/3/20
Littlemill 1965 SV Silent Stills,小磨坊 1965 SV,Littlemill,Signatory Vintage,1965,31,0.465,700,,5273,180,90,,681,"7,700.00",,,2018/10/8,2019/3/19,2019/3/19
Littlemill 1988 MoS,小磨坊 1988 MoS,Littlemill,Malts of Scotland,1988,24,0.521,700,雪莉豬頭,MoS 12028,125,88.47,,,,,,,,2019/3/30
Littlemill 1992 Private Botteling,小磨坊 1992 20年 #503,Littlemill,官方,1992,20,0.58,700,,503,,,10100,,,Andy Bailey 包桶,2018/12/7,,,2019/3/8
Longmorn 1992 SMWS 7.204 Wined and dined,朗摩 1992 SMWS 7.204,Longmorn,Scotch Malt Whisky Society,1992,25,0.495,700,前紅酒 Barrique桶,,192,,8500,,,,2019/3/14,,,2019/3/22
Longmorn 2007 SMWS 7.201 Swimming in trifle,朗摩 2007 SMWS 7.201,Longmorn,Scotch Malt Whisky Society,2007,10,0.576,700,前雪莉 Butt(二次充填),,546,87.53,3700,,,,2019/3/7,,,2019/3/14
Longrow 1997 Burgundy Wood,朗格羅 1997 14年 勃根地,Springbank,官方,1997,14,0.561,700,波本 & 勃根地,,7800,87.07,7000,115,,FB私價,2019/2/25,2018/3/5,,2019/3/23
Macallan 10-year-old Cask Strength,麥卡倫 M10 正體 原酒 59.3% 1000ML 第五版,Macallan,官方,,10,0.593,"1,000",雪莉,,,87.58,26100,,,,2019/3/19,,,2019/3/14
Macallan 10-year-old Cask Strength,麥卡倫 M10 草寫 原酒 58.8% 1000ML,Macallan,官方,,10,0.588,"1,000",雪莉,,2000,89.75,,725,"9,500.00",,,2019/3/4,2019/3/19,2019/3/19
Macallan 1949 SV Vintage Collection - Dumpy,麥卡倫 1949 SV ,Macallan,官方,1949,40,0.379,750,橡木,852+855,280,92.6,,"2,300.00","39,500.00",,,2018/1/8,2019/3/19,2019/3/19
Macallan 1969 DT Rare Auld,麥卡倫 1969 鄧肯泰勒,Macallan,Duncan Taylor,1969,37,0.446,700,橡木,8373,180,,168000,"1,000.00",,FB明價,2019/2/25,2019/1/7,,2019/3/14
Macallan 25-year-old,麥卡倫 25年 草寫 紅木盒,Macallan,官方,,25,0.43,700,,,,91.64,58888,,,,2019/3/14,,,2019/3/22
Macallan 25-year-old Sherry Oak,麥卡倫 25年 新版 2018,Macallan,官方,,25,0.43,700,雪莉,,,91.2,49500,"1,100.00",,FB拍賣公司貨,2019/3/7,2019/3/4,,2019/3/14
Macallan 30-year-old Sherry Oak,麥卡倫 30年 雪莉,Macallan,官方,,30,0.43,700,雪莉,,,93.61,212100,"5,600.00",,藍盒、全藍底,2019/3/19,2019/2/4,,2019/3/22
Macallan 40-year-old,麥卡倫 40年 2017版,Macallan,官方,,40,0.44,700,雪莉,,,92,748000,"17,000.00",,FB私價,2019/2/24,2019/3/4,,2019/3/14
Macallan 8 Decades Sir Peter Blake,麥卡倫 彼得布萊克爵士 80年旅程紀念酒盒,Macallan,官方,,,,,,,,,287888,"3,600.00",,,2019/2/12,2015/3/2,,2019/3/12
Macallan Folio 1 The Archival Series,麥卡倫 書冊1,Macallan,官方,,,0.43,700,雪莉,,2000,84.73,88500,"1,700.00",,,2019/2/20,2019/3/4,,2019/3/13
Macallan Folio 2 The Archival Series,麥卡倫 書冊2,Macallan,官方,,,0.43,700,雪莉,,2500,89.45,42000,875,,,2019/4/16,2019/3/4,,2019/4/18
Macallan Folio 3 The Archival Series,麥卡倫 書冊3,Macallan,官方,,,0.43,700,雪莉,,,86.12,44400,"1,100.00",,,2019/4/16,2019/3/4,,2019/4/18
Macallan M Decanter 1824 Masters Series,麥卡倫 M 萊儷水晶,Macallan,官方,,,0.447,700,,,1750,92,,,"30,100.00",FB私價/2013釋出/亞洲獨賣/萊儷水晶合作,2019/3/30,2019/2/4,2019/3/19,2019/3/19
Miyagikyo 12-year-old Sherry & Sweet,宮城峽 12年 SS,Miyagikyo,官方,,12,0.55,500,雪莉,,,,7600,140,"3,300.00",日本限定,2019/2/13,2018/5/7,2019/3/19,2019/3/19
Miyagikyo 12-year-old Single Malt,宮城峽 12年,Miyagikyo,官方,,12,0.45,700,,,,84.4,9000,190,,歐版,2018/12/10,2019/3/4,,2019/3/6
Miyagikyo 15-year-old,宮城峽 15年,Miyagikyo,官方,,15,0.45,700,,,,86.28,10900,380,"3,780.00",陸拍裸瓶,2018/12/5,2018/12/3,2019/3/24,2019/3/7
Miyagikyo 1996 SMWS 124.4 Full of secret pleasures,宮城峽 1996 SMWS 124.4,Miyagikyo,Scotch Malt Whisky Society,1996,17,0.6,700,PX雪莉 Butts(一次充填),,479,90.67,60000,235,,,2019/3/14,2015/6/1,,2019/3/22
Miyagikyo Bourbon Wood Finish,宮城峽 波本,Miyagikyo,官方,,,,,,,1926,85.67,6000,170,,LMDW精選,,2019/3/4,,2019/3/6
Miyagikyo Rum Wood Finish,宮城峽 蘭姆,Miyagikyo,官方,,,0.46,700,,,3500,89,6000,205,,歐拍雙入410英鎊,,2019/2/4,,2019/3/6
Mortlach 1972 Rare Malts Selection,幕赫 1972 23年,Mortlach,官方,1972,23,0.594,750,,,,92.52,,605,"10,100.00",南非限定,,2019/1/7,2019/3/19,2019/3/19
Mortlach 1980 Flora & Fauna - Cask Strength,幕赫 1980 花鳥,Mortlach,官方,1980,,0.631,700,,,,91.23,,678,"9,800.00",1997裝瓶,,2018/10/8,2019/3/19,2019/3/19
Mortlach 1993 AD Limited,幕赫 1993 艾德菲爾 限量,Mortlach,Adelphi,1993,25,,700,雪莉(二次充填),,,,10600,211,,未確認為56.1%版 or 56%版,2019/2/25,2019/3/4,,2019/3/13
Mortlach 20-year-old Cowie's Blue Seal,慕赫 20年 2018,Mortlach,官方,,20,0.434,700,前雪莉,,,85.91,5750,185,,FB私價/2018裝瓶,2019/2/24,2019/2/4,,2019/3/23
Old Pulteney 1989 Limited Edition - Lightly Peated,富特尼 1989 輕泥煤,Old Pulteney,官方,1989,,0.46,700,,,,88.43,,310,"4,200.00",2015裝瓶,,2019/3/4,2019/3/19,2019/3/20
Port Ellen 1979 GoW Whisky Live - Tel-Aviv,波特艾倫 1979 GoW 37年 Whisky Live,Port Ellen,官方,1979,37,0.448,700,"雪莉, 豬頭",,241,90.77,41000,"1,056.00",,,2018/12/25,2018/2/4,,2019/3/6
Port Ellen 1980 SV Vintage Collection - Dumpy,波特艾倫 1980 SV,Port Ellen,Signatory Vintage,1980,17,0.595,700,橡木,89/589/38,330,89,21600,,,FB拍賣無盒酒標髒污/未確認SV or DM 裝瓶,2019/3/4,,,2019/3/13
Rosebank 1965 SV 28 Year Old,玫瑰河畔 1965 28年,Rosebank,官方,1965,28,0.534,700,雪莉,2498,180,92,,,,,,,,2019/3/4
Rosebank 1981 Rare Malts 22 Year Old,玫瑰河畔 1981 22年,Rosebank,官方,1981,22,0.611,700,,,,89.34,,650,,,,2019/3/4,,2019/3/4
Rosebank 1990 Special Release 2011,玫瑰河畔 1990 21年,Rosebank,官方,1990,21,0.538,750,美國 & 歐洲 橡木桶 (二次充填),,5886,87.94,,385,,,,2017/12/4,,2019/3/4
Rosebank 21-year-old SMS The Roses - Edition 3,玫瑰河畔 玫瑰系列 第三版 嫉妒,Rosebank,Speciality Drinks Ltd,,21,0.525,700,,,695,93.13,42900,"1,150.00",,,2019/4/22,2019/3/4,,2019/4/23
Rosebank 25-year-old Special Release,玫瑰河畔 25年 特別版,Rosebank,官方,1981,25,0.614,700,,,,91.52,72500,"1,150.00","14,800.00",FB私價,2019/4/18,2019/2/4,2019/3/19,2019/4/18
Royal Brackla 1997 SMWS 55.48 Gooey goodness,皇家柏克萊 1997 SMWS 55.48,Royal Brackla,Scotch Malt Whisky Society,1997,19,0.565,700,前PX雪莉 豬頭(一次充填),,270,85.13,4800,,,,2019/3/15,,,2019/3/22
Speyburn 1971 GM Connoisseurs Choice,詩貝 1971 GM,Speyburn,Gordon & MacPhail,1971,13,0.4,750,,,,84,,281,"4,000.00",,,2019/2/4,2019/3/19,2019/3/20
Springbank 100 Proof,雲頂 10年 100 Proof,Springbank,官方,,10,0.57,700,,,,86.87,,92,"1,800.00",2006裝瓶,,2018/11/5,2019/3/24,2019/3/25
Springbank 13-year-old Green ,雲頂 13年 Green,Springbank,官方,,13,0.46,700,雪莉,,9000,86.12,3650,80,,FB私價,2019/2/25,2019/2/4,,2019/3/23
Springbank 14-year-old Bourbon Wood,雲頂 14年 波本,Springbank,官方,2002,14,0.558,700,波本 Barrels(二次充填),,9000,87.86,4500,65,,FB私價/2017裝瓶,2019/2/25,2019/3/4,,2019/3/23
Springbank 17-year-old Sherry Wood,雲頂 17年 雪莉,Springbank,官方,1997,17,0.523,700,"雪莉 Butts, 豬頭(二次充填)",,9120,88.1,7500,101,,FB私價/2015裝瓶,2019/2/25,2019/3/4,,2019/3/23
Springbank 18-year-old First Batch,雲頂 18年 舊版 First Batch,Springbank,官方,,18,0.46,700,,,7800,88.78,,130,"2,000.00",2009裝瓶,,2019/2/4,2019/3/24,2019/3/25
Springbank 1967 CA Chairman's Stock,雲頂 1967 Cadenhead,Springbank,Cadenhead,1967,32,0.446,700,雪莉,,228,92.5,,,"19,000.00",,,,2019/3/19,2019/3/19
Springbank 1995 Society Bottling,雲頂 1995 8年 會員限定,Springbank,官方,1995,8,0.56,700,雪莉 豬頭,,306,87.36,,,"4,300.00",,,,2019/3/19,2019/3/19
Springbank 2001 Open Day 2017,雲頂 Open Day 2017,Springbank,官方,2001,15,0.5,700,"瓜德羅普(
Guadeloupe)蘭姆橡木",,218,88.28,,,"4,800.00",雲頂 Open Day 2017,,,2019/3/19,2019/3/20
Springbank 21-year-old Black Ceramic Jug,雲頂 21年 黑瓷瓶,Springbank,官方,,21,0.43,700,,,,89.09,,370,"5,300.00",,,2019/1/7,2019/3/19,2019/3/19
Springbank 21-year-old Open Day Bottling 2014,雲頂 Open Day 2014,Springbank,官方,1992,21,0.46,700,蘭姆,,174,91.21,,,"5,600.00",雲頂 Open Day 2014,,,2019/3/19,2019/3/20
Springbank 21-year-old Open Day Bottling 2015,雲頂 Open Day 2015,Springbank,官方,1993,21,0.46,700,Claret(二次充填),,264,89.57,,320,"4,700.00",雲頂 Open Day 2015,,2018/6/4,2019/3/19,2019/3/20
Springbank 22-year-old Society Bottling,雲頂 22年 會員限定,Springbank,官方,,22,0.46,700,波本,,170,90.33,,,"6,500.00",,,,2019/3/19,2019/3/19
Springbank 50-year-old Pear Shape bottle - GL 32.3 GRADI,雲頂 50年,Springbank,官方,1919,50,0.43,750,,,,,520000,,,義大利版/FB私價,2019/4/2,,,2019/4/10
Suntory Blended Whisky - Mizunara,三得利 水楢,,官方,,,0.43,700,,,,92.26,65000,,,日本限定/調和威士忌,2019/2/20,,,2019/3/14
Suntory Blended Whisky - Wa-kyo,三得利 和馨,"Yamazaki, Chita",官方,,,0.43,700,,,539,89.8,62000,487,,日本限定/調和威士忌,2019/2/20,2018/2/5,,2019/3/14
Suntory The Peninsula Tokyo,三得利 東京半島酒店30年紀念,"Yamazaki, Hakushu, Chita",官方,,,0.43,700,雪莉,,450,91.8,72300,"2,200.00",,日本限定/2014裝瓶,2019/3/9,2019/1/7,,2019/3/22
Taketsuru 17-year-old Pure Malt,竹鶴 17年,Taketsuru,官方,,17,0.43,700,,,,85.33,5200,140,,"FB公司貨/""17""位於左側",2019/3/15,2019/3/4,,2019/3/22
Taketsuru 17-year-old Pure Malt / Wooden Presentation,竹鶴 17年 木盒版,Taketsuru,官方,,17,0.43,700,,,,90.42,6800,140,,,2018/10/14,2019/3/4,,2019/3/6
Taketsuru 21-year-old Pure Malt,竹鶴 21年 日版,Taketsuru,官方,,21,0.43,700,,,,,8000,220,"3,100.00","FB日版/""21""位於左側",2019/3/15,2019/3/4,2019/3/24,2019/3/22
Taketsuru 25-year-old Pure Malt,竹鶴 25年 木盒,Taketsuru,官方,,25,0.43,700,,,,,34700,975,,,2019/2/14,2019/3/4,,2019/3/12
Talisker 10-year-old,泰斯卡 10年 地圖標 1000ML,Talisker,官方,,10,0.458,"1,000",,,,87.89,,200,"3,000.00",,,2018/8/6,2019/3/19,2019/3/19
Talisker 1977 Cask Strength 35 Year Old,泰斯卡 1977 35年,Talisker,官方,1977,35,0.546,700,,,3090,93.17,,875,,,,2019/1/7,,2019/3/4
Talisker 1978 The Bodega Series,泰斯卡 1978 40年,Talisker,官方,1978,40,0.5,700,Amontillado 雪莉,,2000,91.39,93800,"1,850.00",,FB私價,2019/4/8,2018/11/5,,2019/4/10
Talisker 25-year-old,泰斯卡 25年 2013,Talisker,官方,,25,0.458,700,,,5772,88.66,,160,"2,000.00",2013裝瓶,,2017/1/2,2019/3/24,2019/3/25
Talisker 30-year-old,泰斯卡 30年 2008,Talisker,官方,,30,0.495,700,,,2970,91.34,,410,"5,200.00",2008裝瓶,,2018/5/7,2019/3/24,2019/3/25
Talisker 30-year-old 2010,泰斯卡 30年 2010,Talisker,官方,,30,0.573,700,美國 & 歐洲 橡木桶,,2958,91.78,17000,320,,2010版,2018/9/12,2017/12/4,,2019/3/11
Talisker 30-year-old 2017,泰斯卡 30年 2017,Talisker,官方,,30,0.458,750,波本 & 雪莉,9078,,,13000,270,,美國限定/2017裝瓶,2019/3/8,2018/12/3,,2019/3/14
Talisker 35-year-old Limited Edition,泰斯卡 35年 限量,Talisker,官方,1977,35,0.546,700,,,3090,93.16,48000,,,FB私價,2019/4/2,,,2019/4/6
Talisker Select Reserve - House Greyjoy Game of Thrones,泰斯卡 權力遊戲 葛雷喬伊家族,Talisker,官方,,,0.458,700,,,,,2688,130,,,2019/3/21,2019/3/4,,2019/3/22
Teaninich 1971 GM Connoisseurs Choice,提安尼涅克 1971 GM,Teaninich,Gordon & MacPhail,1971,15,0.4,750,,,,,,310,"4,500.00",,,2018/11/5,2019/3/19,2019/3/20
The Singleton of Glen Ord Limited Edition Natural Cask Strength - 1st Release,蘇格登 Glen Ord 酒廠 限量,Singleton,官方,,,0.581,700,,,1920,,4000,,,第一版,,,,2019/3/7
Yamazaki 10-year-old,山崎 10年 白盒,Yamazaki,官方,,10,0.4,700,,,,81.52,5900,200,,,2018/11/8,2019/3/4,,2019/3/8
